id_rssd,name,state,city,filing_type,reporting_period,has_filed
488653,"NATIONAL BANK OF ANDREWS, THE",TX,ANDREWS                  ,051,3/31/2026,True
917555,UBANK,TX,HUNTINGTON               ,051,3/31/2026,True
660879,"ANGELINA SAVINGS BANK, SSB",TX,LUFKIN                   ,051,3/31/2026,True
830252,"LYTLE STATE BANK OF LYTLE, TEXAS, THE",TX,LYTLE                    ,051,3/31/2026,True
851060,ATASCOSA BANK,TX,PLEASANTON               ,051,3/31/2026,True
523161,CITIZENS STATE BANK,TX,SEALY                    ,051,3/31/2026,True
3463875,AUSTIN COUNTY STATE BANK,TX,BELLVILLE                ,051,3/31/2026,True
283867,WALLIS BANK,TX,WALLIS                   ,051,3/31/2026,True
78157,BANDERA BANK,TX,BANDERA                  ,051,3/31/2026,True
18050,"FIRST NATIONAL BANK OF BASTROP, THE",TX,BASTROP                  ,051,3/31/2026,True
3472046,FRONTIER BANK OF TEXAS,TX,ELGIN                    ,051,3/31/2026,True
613950,FIRST NATIONAL BANK TEXAS DBA FIRST CONVENIENCE BANK,TX,KILLEEN                  ,051,3/31/2026,True
537560,"EXTRACO BANKS, NATIONAL ASSOCIATION",TX,TEMPLE                   ,041,3/31/2026,True
474254,BROADWAY NATIONAL BANK,TX,SAN ANTONIO              ,041,3/31/2026,True
45560,JEFFERSON BANK,TX,SAN ANTONIO              ,041,3/31/2026,True
26765,VANTAGE BANK TEXAS,TX,SAN ANTONIO              ,051,3/31/2026,True
682563,FROST BANK,TX,SAN ANTONIO              ,041,3/31/2026,True
977652,JOHNSON CITY BANK,TX,JOHNSON CITY             ,051,3/31/2026,True
819154,FIRST SECURITY STATE BANK,TX,CRANFILLS GAP            ,051,3/31/2026,True
198961,FIRST NATIONAL BANK OF BOSQUE COUNTY,TX,VALLEY MILLS             ,051,3/31/2026,True
794149,COMMERCIAL NATIONAL BANK OF TEXARKANA,TX,TEXARKANA                ,041,3/31/2026,True
621357,STATE BANK OF DE KALB,TX,DE KALB                  ,051,3/31/2026,True
560353,FIRST NATIONAL BANK OF LAKE JACKSON,TX,LAKE JACKSON             ,051,3/31/2026,True
863362,BRAZOS NATIONAL BANK,TX,RICHWOOD                 ,051,3/31/2026,True
3485215,"TEXAS ADVANTAGE COMMUNITY BANK, NATIONAL ASSOCIATION",TX,ALVIN                    ,051,3/31/2026,True
796152,FIRST STATE BANK,TX,CLUTE                    ,051,3/31/2026,True
3447576,AMERICAN MOMENTUM BANK,TX,COLLEGE STATION          ,051,3/31/2026,True
644963,"FIRST NATIONAL BANK OF QUITAQUE, THE",TX,QUITAQUE                 ,051,3/31/2026,True
442655,"FIRST NATIONAL BANK IN FALFURRIAS, THE",TX,FALFURRIAS               ,051,3/31/2026,True
233358,CITIZENS NATIONAL BANK AT BROWNWOOD,TX,BROWNWOOD                ,051,3/31/2026,True
261360,CITIZENS STATE BANK,TX,SOMERVILLE               ,051,3/31/2026,True
303653,FIRST STATE BANK OF BURNET,TX,BURNET                   ,051,3/31/2026,True
954653,CITIZENS STATE BANK OF LULING,TX,LULING                   ,051,3/31/2026,True
631150,FIRST LOCKHART BANK,TX,LOCKHART                 ,051,3/31/2026,True
855264,FIRST NATIONAL BANK IN PORT LAVACA,TX,PORT LAVACA              ,051,3/31/2026,True
230759,INTERNATIONAL BANK OF COMMERCE,TX,BROWNSVILLE              ,041,3/31/2026,True
380458,TEXAS REGIONAL BANK,TX,HARLINGEN                ,051,3/31/2026,True
346566,FIRST NATIONAL BANK OF SOUTH PADRE ISLAND,TX,SOUTH PADRE ISLAND       ,051,3/31/2026,True
334264,FIRST COMMUNITY BANK,TX,SAN BENITO               ,051,3/31/2026,True
911160,PILGRIM BANK,TX,PITTSBURG                ,051,3/31/2026,True
729178,"CYPRESS BANK, SSB",TX,PITTSBURG                ,051,3/31/2026,True
460556,"STATE NATIONAL BANK OF GROOM, THE",TX,GROOM                    ,051,3/31/2026,True
849357,"FIRST NATIONAL BANK OF HUGHES SPRINGS, THE",TX,HUGHES SPRINGS           ,051,3/31/2026,True
809650,"TEXANA BANK, NATIONAL ASSOCIATION",TX,LINDEN                   ,041,3/31/2026,True
578255,FIRST UNITED BANK,TX,DIMMITT                  ,051,3/31/2026,True
424352,ANAHUAC NATIONAL BANK,TX,ANAHUAC                  ,051,3/31/2026,True
548351,"AUSTIN BANK, TEXAS NATIONAL ASSOCIATION",TX,JACKSONVILLE             ,041,3/31/2026,True
739355,TEXAS NATIONAL BANK OF JACKSONVILLE,TX,JACKSONVILLE             ,041,3/31/2026,True
803265,ROBERT LEE STATE BANK,TX,ROBERT LEE               ,051,3/31/2026,True
761954,COLEMAN COUNTY STATE BANK,TX,COLEMAN                  ,051,3/31/2026,True
1176881,MONET BANK,TX,PLANO                    ,041,3/31/2026,True
980960,BENCHMARK BANK,TX,PLANO                    ,051,3/31/2026,True
735067,"TEXAS REPUBLIC BANK, NATIONAL ASSOCIATION",TX,FRISCO                   ,051,3/31/2026,True
371362,WELLINGTON STATE BANK,TX,WELLINGTON               ,051,3/31/2026,True
891253,COLUMBUS STATE BANK,TX,COLUMBUS                 ,051,3/31/2026,True
651952,"FIRST NATIONAL BANK OF EAGLE LAKE, THE",TX,EAGLE LAKE               ,051,3/31/2026,True
801654,"FIRST STATE BANK, THE",TX,COLUMBUS                 ,051,3/31/2026,True
555256,FARMERS AND MERCHANTS BANK,TX,DE LEON                  ,051,3/31/2026,True
719964,FIRST STATE BANK,TX,PAINT ROCK               ,051,3/31/2026,True
656658,TEXAS FINANCIAL BANK DBA THE EDEN STATE BANK,TX,EDEN                     ,051,3/31/2026,True
435750,FIRST STATE BANK,TX,GAINESVILLE              ,041,3/31/2026,True
765662,MUENSTER STATE BANK,TX,MUENSTER                 ,051,3/31/2026,True
379153,"FIRST NATIONAL BANK OF EVANT, THE",TX,EVANT                    ,051,3/31/2026,True
780263,OZONA BANK,TX,OZONA                    ,051,3/31/2026,True
901451,CITIZENS NATIONAL BANK OF CROSBYTON,TX,CROSBYTON                ,051,3/31/2026,True
971070,"DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB",TX,DALHART                  ,051,3/31/2026,True
529958,"TIB, NATIONAL ASSOCIATION",TX,FARMERS BRANCH           ,041,3/31/2026,True
637451,PLAINSCAPITAL BANK,TX,UNIVERSITY PARK          ,041,3/31/2026,True
3465392,PEGASUS BANK,TX,DALLAS                   ,041,3/31/2026,True
2618780,TEXAS CAPITAL BANK,TX,DALLAS                   ,041,3/31/2026,True
474759,"SUNFLOWER BANK, NATIONAL ASSOCIATION",TX,DALLAS                   ,041,3/31/2026,True
3619216,TEXAS SECURITY BANK,TX,DALLAS                   ,051,3/31/2026,True
3297490,HARMONY BANK,TX,DALLAS                   ,051,3/31/2026,True
3284445,"T BANK, NATIONAL ASSOCIATION",TX,DALLAS                   ,051,3/31/2026,True
404653,DOMINION BANK,TX,DALLAS                   ,051,3/31/2026,True
726953,UNITED TEXAS BANK,TX,DALLAS                   ,041,3/31/2026,True
3690121,LIBERTY CAPITAL BANK,TX,ADDISON                  ,051,3/31/2026,True
766164,"TBK BANK, SSB",TX,DALLAS                   ,041,3/31/2026,True
652874,NEXBANK,TX,DALLAS                   ,041,3/31/2026,True
490450,NORTH DALLAS BANK & TRUST CO.,TX,DALLAS                   ,051,3/31/2026,True
3296859,ONE WORLD BANK,TX,DALLAS                   ,051,3/31/2026,True
965789,SUSSER BANK,TX,DALLAS                   ,041,3/31/2026,True
1157415,STATE BANK OF TEXAS,TX,IRVING                   ,051,3/31/2026,True
522669,HOMEBANK TEXAS,TX,SEAGOVILLE               ,051,3/31/2026,True
500658,PAVILLION BANK,TX,RICHARDSON               ,051,3/31/2026,True
494654,"AMERICAN BANK, NATIONAL ASSOCIATION",TX,DALLAS                   ,051,3/31/2026,True
384652,"DALLAS CAPITAL BANK, NATIONAL ASSOCIATION",TX,DALLAS                   ,051,3/31/2026,True
638355,"BANK OF DESOTO, NATIONAL ASSOCIATION",TX,DESOTO                   ,051,3/31/2026,True
913753,INWOOD NATIONAL BANK,TX,DALLAS                   ,041,3/31/2026,True
3166699,TOLLESON PRIVATE BANK,TX,DALLAS                   ,051,3/31/2026,True
623052,"LAMESA NATIONAL BANK, THE",TX,LAMESA                   ,051,3/31/2026,True
2759629,"FIRST NATIONAL BANK OF HEREFORD, THE",TX,HEREFORD                 ,051,3/31/2026,True
767152,"FIRST NATIONAL BANK IN COOPER, THE",TX,COOPER                   ,051,3/31/2026,True
3150447,"CHARLES SCHWAB BANK, SSB",TX,WESTLAKE                 ,031,3/31/2026,True
1893049,"CHARLES SCHWAB PREMIER BANK, SSB",TX,WESTLAKE                 ,031,3/31/2026,True
5278251,CHARLES SCHWAB TRUST BANK,TX,WESTLAKE                 ,031,3/31/2026,True
336361,SANGER BANK,TX,SANGER                   ,051,3/31/2026,True
844567,POINTBANK,TX,PILOT POINT              ,051,3/31/2026,True
539872,"TRUSTTEXAS BANK, S.S.B.",TX,CUERO                    ,051,3/31/2026,True
311265,YOAKUM BANK,TX,YOAKUM                   ,051,3/31/2026,True
564463,CROSSROADS BANK,TX,YOAKUM                   ,051,3/31/2026,True
409265,SPUR SECURITY BANK,TX,SPUR                     ,051,3/31/2026,True
753856,"DONLEY COUNTY STATE BANK, THE",TX,CLARENDON                ,051,3/31/2026,True
578862,FIRST STATE BANK OF SAN DIEGO,TX,SAN DIEGO                ,041,3/31/2026,True
561864,SOUTHWEST BANK,TX,ODESSA                   ,051,3/31/2026,True
660066,PEOPLES STATE BANK,TX,ROCKSPRINGS              ,051,3/31/2026,True
370954,"COWBOY BANK OF TEXAS, THE",TX,MAYPEARL                 ,051,3/31/2026,True
552161,CITIZENS NATIONAL BANK OF TEXAS,TX,WAXAHACHIE               ,051,3/31/2026,True
435059,TRINITY CAPITAL BANK OF TEXAS,TX,ENNIS                    ,051,3/31/2026,True
1017564,COMMERCIAL STATE BANK,TX,PALMER                   ,051,3/31/2026,True
1447639,WESTSTAR BANK,TX,EL PASO                  ,051,3/31/2026,True
648550,FIRST NATIONAL BANK OF DUBLIN,TX,DUBLIN                   ,051,3/31/2026,True
377663,FANNIN BANK,TX,BONHAM                   ,041,3/31/2026,True
732954,CARMINE STATE BANK,TX,CARMINE                  ,051,3/31/2026,True
665865,ROUND TOP STATE BANK,TX,ROUND TOP                ,051,3/31/2026,True
675079,"FAYETTE SAVINGS BANK, SSB",TX,LA GRANGE                ,051,3/31/2026,True
792659,NATIONAL BANK & TRUST,TX,LA GRANGE                ,051,3/31/2026,True
2490285,FIRST NATIONAL BANK,TX,ROTAN                    ,051,3/31/2026,True
393252,FIRST TEXAS NATIONAL BANK,TX,FLOYDADA                 ,051,3/31/2026,True
701857,CROWELL STATE BANK,TX,CROWELL                  ,051,3/31/2026,True
5760439,TEXAS TRADITIONS BANK,TX,KATY                     ,051,3/31/2026,True
839068,SECURITY STATE BANK,TX,PEARSALL                 ,051,3/31/2026,True
253356,MOODY NATIONAL BANK,TX,GALVESTON                ,041,3/31/2026,True
393953,"HOMETOWN BANK, NATIONAL ASSOCIATION",TX,GALVESTON                ,051,3/31/2026,True
473266,TEXAS FIRST BANK,TX,TEXAS CITY               ,051,3/31/2026,True
247355,SECURITY STATE BANK & TRUST,TX,FREDERICKSBURG           ,051,3/31/2026,True
448554,SAGE CAPITAL BANK,TX,GONZALES                 ,051,3/31/2026,True
352651,BOC BANK,TX,MCLEAN                   ,051,3/31/2026,True
89957,CENDERA BANK,TX,BELLS                    ,051,3/31/2026,True
193162,"FIRST NATIONAL BANK OF TOM BEAN, THE",TX,TOM BEAN                 ,051,3/31/2026,True
457060,SPRING HILL STATE BANK,TX,LONGVIEW                 ,051,3/31/2026,True
949154,TEXAS BANK AND TRUST COMPANY,TX,LONGVIEW                 ,041,3/31/2026,True
744854,CITIZENS BANK,TX,KILGORE                  ,051,3/31/2026,True
88352,FIRST STATE BANK OF BEDIAS,TX,BEDIAS                   ,041,3/31/2026,True
362155,"FIRST NATIONAL BANK OF ANDERSON, THE",TX,ANDERSON                 ,051,3/31/2026,True
400365,"FIRST COMMERCIAL BANK, NATIONAL ASSOCIATION",TX,SEGUIN                   ,051,3/31/2026,True
583268,SCHERTZ BANK & TRUST,TX,SCHERTZ                  ,051,3/31/2026,True
484057,MARION STATE BANK,TX,MARION                   ,051,3/31/2026,True
